effect,group,term,estimate,std.error,statistic,df,p.value,warnings,n_subj,n_ingroup,n_outgroup,beta_0,beta_1,omega_0,tau_0,tau_1,rho,sigma
ran_pars,subj_id,sd__X_i,25.723876551504745,NA,NA,NA,NA,Model failed to converge with 1 negative eigenvalue: -2.1e+00,50,10,10,800,50,80,20,40,0.2,200
ran_pars,item_id,sd__(Intercept),63.512624511898395,NA,NA,NA,NA,Model failed to converge with 1 negative eigenvalue: -2.1e+00,50,10,10,800,50,80,20,40,0.2,200
ran_pars,Residual,sd__Observation,203.40316618767636,NA,NA,NA,NA,Model failed to converge with 1 negative eigenvalue: -2.1e+00,50,10,10,800,50,80,20,40,0.2,200
fixed,NA,(Intercept),823.8419578019722,17.87840434825667,46.080284445647706,22.56869042156996,7.956961642062738e-24,,50,10,10,800,50,80,40,40,0.2,200
fixed,NA,X_i,20.52305065223612,35.02882788984959,0.5858903048875109,20.92759993332725,0.5642151349058299,,50,10,10,800,50,80,40,40,0.2,200
ran_pars,subj_id,sd__(Intercept),32.88456048249969,NA,NA,NA,NA,,50,10,10,800,50,80,40,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,0.9349598320657612,NA,NA,NA,NA,,50,10,10,800,50,80,40,40,0.2,200
ran_pars,subj_id,sd__X_i,41.82162157769917,NA,NA,NA,NA,,50,10,10,800,50,80,40,40,0.2,200
ran_pars,item_id,sd__(Intercept),71.90659123246269,NA,NA,NA,NA,,50,10,10,800,50,80,40,40,0.2,200
ran_pars,Residual,sd__Observation,198.69967927402905,NA,NA,NA,NA,,50,10,10,800,50,80,40,40,0.2,200
fixed,NA,(Intercept),812.2490155383106,23.464365058577343,34.616279345747515,26.81396873980714,8.612393767514679e-24,,50,10,10,800,50,80,60,40,0.2,200
